#{"t_start": 1784708786.6030405, "env_id": "LunarLander-v3"}
r,l,t
-203.840312,68,20.041699
-150.140658,116,27.769992
-268.31234,107,28.080848
-109.670226,89,28.328796
-118.156938,64,28.500046
-438.488189,110,28.79914
-225.91226,63,28.972214
-132.270725,110,29.278819
-194.20348,64,29.445608
-191.547926,97,29.734627
-89.245295,84,29.980468
-22.593451,115,32.826318
-318.518632,105,33.102983
-201.999848,60,33.284998
-97.780373,72,33.487395
-241.14585,70,33.667413
-132.693436,86,33.907902
-235.999282,125,34.276736
-64.133653,57,34.455605
-290.989748,110,34.869509
-181.845133,97,35.172504
-78.173263,61,35.375453
-132.382577,67,35.534829
-133.207582,101,38.21685
-98.016083,107,38.522564
-148.663809,97,38.777886
-94.514372,88,39.00478
-66.166156,79,39.250445
-83.178628,66,39.434756
-143.877504,118,39.757025
-276.624546,114,40.070813
-76.993476,73,40.307585
-284.201542,116,40.672856
-293.031483,77,40.882802
-113.248302,81,43.694823
-115.612735,82,43.907782
-54.219461,133,44.310524
-119.327451,102,44.606177
-60.483432,75,44.809736
-106.666367,88,45.057885
-79.368097,89,45.310671
-80.956454,67,45.530681
-127.948459,93,45.817347
-65.592516,124,46.204568
-147.880409,106,46.516386
-109.740973,62,49.190593
-217.444447,114,49.584892
-199.971305,100,49.953094
-78.659456,109,50.402475
-138.522516,91,50.957267
-87.314298,84,51.402484
-62.542591,131,52.046
-112.63134,81,52.459476
-17.478499,107,53.026845
-274.396017,136,53.679093
-69.397951,93,60.33454
-108.69526,89,60.778002
-40.995802,71,61.130311
-52.412988,152,61.88971
-54.808488,78,62.303122
-294.01508,103,62.827703
-97.207417,131,63.490358
-129.169218,106,64.01628
-140.114962,109,64.569099
-188.508071,148,71.70361
-139.478441,104,72.210644
-147.646504,93,72.657914
-306.138785,142,73.398741
-294.167605,154,74.112912
-36.940545,136,74.789894
-40.480073,103,75.326497
-125.718225,105,75.868209
-65.971783,101,76.358814
-162.024072,105,83.600725
-371.214216,126,84.221586
-292.592851,134,84.929962
-72.957096,94,85.400177
-14.076926,71,85.808196
-221.084432,90,86.258426
-73.244753,113,86.826133
-96.937912,81,87.257345
-81.928589,156,88.004227
-54.527694,86,88.432657
-140.424892,100,95.382201
-215.901334,120,95.98503
-63.823886,72,96.376216
-74.672975,130,97.035457
-106.619709,112,97.607383
-206.984598,138,98.305193
-68.633555,103,98.842453
-63.581321,77,99.218612
-67.601784,65,99.545373
-85.387561,108,100.085081
-86.663121,108,106.978192
34.94373,98,107.483044
1.200858,124,108.136743
-61.692767,93,108.604747
-140.10062,145,109.312423
-81.936362,110,109.863473
-119.980114,111,110.487834
-63.847578,109,111.216333
-82.617334,82,111.667658
-31.9114,91,118.540635
-49.014666,106,119.092361
-58.387196,111,119.65546
-127.362091,134,120.355156
-101.68802,88,121.278819
-118.352597,98,121.824496
-18.774301,136,122.529874
-181.725246,199,123.532077
-233.300088,102,124.091706
-44.285988,128,131.081886
-4.552351,132,131.746342
-94.036367,99,132.279295
-71.17899,78,132.663867
-70.181297,65,133.006199
-28.171816,129,133.66301
-13.663212,145,134.363378
-20.079458,111,134.920887
-94.53598,114,135.506294
-80.886673,105,141.742952
-163.306357,109,142.212126
-22.237498,123,142.634345
-75.052282,96,142.930475
-33.551029,97,143.203882
-7.473279,129,143.595037
-1.555113,124,143.999109
-76.35453,112,144.343544
14.198662,85,144.623208
-10.67272,96,144.945624
-53.718661,117,147.949958
-9.179095,103,148.337473
-13.100873,127,148.761361
-13.831991,95,149.114511
-7.891609,84,149.423118
-71.725657,116,149.775013
8.646508,89,150.063889
-43.267001,122,150.4373
-17.412772,119,150.793795
-30.365281,138,153.690203
22.121235,136,154.058739
28.48194,95,154.377681
-16.164861,131,154.842874
-75.987562,140,155.284683
-5.684548,141,155.730362
-54.409481,157,156.335557
12.469909,128,156.895031
-37.569532,87,163.935348
30.468197,93,164.400641
-24.501555,115,165.009009
-37.066132,139,165.705621
2.698771,124,166.374123
-13.019864,136,167.07741
-47.832995,127,167.747454
-7.623096,107,168.288136
-54.308329,120,175.515623
0.143752,1000,180.922016
-179.927129,307,189.082297
-27.531678,205,190.169286
1.463368,103,190.712361
-2.381284,193,191.689725
