#{"t_start": 1784708786.6030405, "env_id": "LunarLander-v3"}
r,l,t
-283.422948,107,27.542966
-198.830985,58,27.703841
-139.979466,63,27.912074
-370.697901,103,28.201221
-146.409579,69,28.390613
-141.999331,113,28.690967
-420.176032,114,29.000753
-449.164295,83,29.235994
-81.795284,126,29.580736
-61.958784,75,29.815396
-91.22397,109,30.134479
-129.468045,96,32.906554
-201.498378,73,33.097465
-132.311851,84,33.334898
-0.66194,120,33.663401
-112.939528,85,33.894554
-193.78807,82,34.132654
-420.805473,106,34.471879
-139.705205,109,34.88226
-131.191837,145,35.346108
-486.670004,96,35.604127
11.267854,95,38.261196
-208.403874,106,38.554292
-132.483472,80,38.752682
-148.564225,117,39.100923
-288.037136,89,39.349822
-515.898307,111,39.651297
-260.303823,101,39.93083
-177.355783,102,40.24203
-137.959626,84,40.509319
-303.064872,118,40.843929
-44.186648,142,43.826493
-107.725677,80,44.045079
-128.838198,90,44.317668
-72.81172,67,44.501903
52.357062,1000,50.096296
-150.288637,103,50.708505
-80.774269,72,51.08461
-147.835968,84,51.513699
-225.186201,94,51.99201
-113.253614,125,52.619702
-307.96684,171,53.489089
-92.830412,69,53.837034
-121.126416,89,60.475293
-33.946311,104,60.983773
-41.03249,77,61.350225
-202.457227,126,62.003603
-110.458296,153,62.768746
-136.009747,132,63.422813
-104.108526,133,64.131007
-50.246993,71,64.48416
-94.43612,77,64.84236
-39.694366,154,72.030218
-99.616351,116,72.59244
-68.851394,94,73.047134
-90.605979,102,73.562077
-96.765925,122,74.156955
-34.498808,85,74.565959
-172.147947,89,75.012437
-87.61254,83,75.430436
-82.164524,104,75.977648
-29.629876,80,76.371415
-101.947248,108,83.618878
-191.49379,129,84.255464
-147.096104,116,84.87173
-86.060527,68,85.217593
-66.620464,115,85.847165
-79.495859,88,86.291692
-160.161196,139,86.988771
-68.737343,68,87.340088
-98.44177,134,87.986363
-117.076124,126,95.057515
-46.315194,103,95.582229
-250.308756,123,96.23379
-78.059995,65,96.553752
-102.065236,122,97.185029
-90.393765,72,97.543622
-77.596499,106,98.068024
-41.257128,110,98.633387
-218.478871,229,99.807338
-67.183775,73,100.189254
22.124532,142,107.228994
-102.156686,101,107.772835
-34.326612,74,108.141782
-71.099767,114,108.709483
-110.054643,85,109.140741
-78.273429,90,109.57627
-216.407215,120,110.238352
-112.533691,120,111.031543
-97.20197,139,111.760366
-91.72066,103,118.690182
-62.388649,117,119.311978
-65.353885,128,119.9615
-64.825708,122,120.894728
-92.323721,76,121.484713
-74.463554,117,122.112526
