#{"t_start": 1784708786.6030405, "env_id": "LunarLander-v3"}
r,l,t
-364.1632,96,20.134091
-102.867037,85,27.759802
-87.115669,74,27.987854
-270.289762,91,28.239873
-319.069507,84,28.467062
-109.958497,125,28.804085
-17.27123,107,29.094952
-50.857446,73,29.299639
-143.722905,102,29.588152
-247.648432,69,29.796941
-321.172082,88,30.054292
-159.192402,102,32.841864
-277.197999,98,33.102983
-84.117432,68,33.306819
-157.031065,89,33.554497
-19.652025,125,33.884069
-436.924895,94,34.157033
-451.274455,95,34.467926
-161.903307,85,34.79041
-65.117763,74,35.044147
-71.099196,82,35.294794
-70.691595,64,35.474232
-285.398546,100,38.135626
-50.816025,75,38.355852
-204.787788,131,38.694841
-76.009978,67,38.881907
-96.897964,94,39.165005
-170.78941,112,39.471478
-156.634365,107,39.76506
-93.401632,110,40.070813
-117.032022,90,40.357451
-320.704045,99,40.663169
-139.077544,76,40.877262
-112.971879,62,43.607171
-217.560576,138,44.015525
-121.178161,142,44.435629
-143.89491,98,44.71202
-121.830686,102,45.001016
-124.105899,73,45.207545
-78.996227,76,45.443301
-293.070934,118,45.807127
-145.629471,85,46.099053
-162.755687,87,46.344064
-101.712445,145,49.271045
-81.722557,74,49.521891
-146.669144,134,49.999033
-69.607831,132,50.654064
-193.009153,84,51.119964
-210.016964,143,51.858823
-143.897381,125,52.475265
-50.589449,83,52.930336
-95.164598,102,53.430324
-99.324094,79,53.812232
-228.120457,97,60.505927
-128.861995,84,60.899634
-40.073053,94,61.356917
-99.662798,121,61.990943
-92.679894,99,62.512011
-139.611914,108,63.049327
-91.652209,69,63.373045
-88.742961,108,63.91339
-202.03639,86,64.369317
-102.972603,88,64.797899
-151.956961,156,71.978463
-73.131373,84,72.38672
-107.015042,86,72.799707
-78.302583,86,73.227492
-25.601044,93,73.70339
-169.009432,118,74.262907
-96.55649,87,74.69318
-60.376608,70,75.058992
-64.449595,156,75.863318
-297.628152,114,76.420286
-68.248514,73,83.478423
-141.876561,112,84.056561
-178.27488,105,84.582451
-159.417776,75,84.984803
-36.187458,72,85.333835
-55.537403,73,85.759118
-195.036867,103,86.289552
-96.529057,96,86.76982
-70.815441,128,87.41881
-156.550401,114,87.959704
-62.824904,113,88.515007
-136.670504,124,95.606577
-125.600394,107,96.182267
-57.47057,81,96.571774
-138.123886,104,97.101959
-137.549638,142,97.834868
-87.807948,90,98.281078
-162.510173,99,98.793794
-55.157913,133,99.457016
-51.965691,97,99.949052
-77.349742,73,106.67316
-72.609773,63,106.973498
-77.544512,107,107.557381
-253.398701,138,108.237911
-75.221666,88,108.687836
-65.672584,178,109.566803
-211.986513,111,110.177192
-92.623617,109,110.90928
-18.715336,86,111.376827
-60.454358,130,118.453412
-45.024597,166,119.317184
-97.273141,77,119.701127
-35.457387,112,120.26234
-64.327536,128,121.447911
-6.960179,139,122.185508
10.693118,133,122.841268
28.920932,117,123.450845
-28.349909,92,123.955361
-51.499334,140,131.008406
-24.082714,137,131.700923
-58.798326,119,132.351152
-94.192906,119,132.942779
-128.516359,99,133.457
-49.566299,70,133.778624
40.943242,184,134.684216
-51.693572,74,135.060265
-117.364432,150,141.538065
20.6792,99,142.01108
-65.055956,130,142.495282
-146.808442,124,142.888253
-86.528302,107,143.181715
-42.291276,95,143.485244
-27.021434,125,143.848463
-83.444847,96,144.169779
-28.042491,83,144.41606
-28.874857,108,144.783926
-50.389556,113,147.796044
0.629731,149,148.327852
-54.49309,132,148.770525
-42.147775,110,149.171856
-22.689392,93,149.506379
-73.959672,140,149.944647
-35.133996,105,150.261244
-11.577347,120,150.638654
-8.313949,118,153.447824
-65.842045,84,153.715182
-57.832473,161,154.154852
-8.331318,117,154.585742
-39.377431,128,155.024101
-25.232303,91,155.293044
4.95709,97,155.597474
-1.074327,100,155.99382
30.202094,1000,167.520191
-56.692859,91,167.990863
6.52083,170,168.834668
-28.970694,93,175.966848
-6.356198,170,176.8898
4.913739,90,177.377491
-0.573756,134,178.114597
74.070665,1000,189.946273
-8.733705,120,190.586217
57.991276,1000,202.41053
-66.757386,139,203.14282
-168.748453,198,203.930722
64.451028,1000,210.020945
37.346505,159,212.960816
106.706409,1000,215.887631
-41.835145,124,218.615167
43.915774,1000,224.52473
-16.902996,124,224.849717
-32.997827,232,225.491291
-128.378968,360,226.51417
25.191871,144,226.90513
118.761655,1000,232.494628
68.910305,1000,250.628405
33.413899,167,253.790878
-28.596963,275,254.661586
134.287221,1000,260.372454
-13.927853,221,260.975612
79.567915,1000,267.229868
106.971616,1000,278.709551
112.140532,1000,289.872331
-202.367557,566,292.757002
99.416083,1000,303.927333
113.38124,1000,315.112137
-27.837922,1000,326.533223
-22.785254,323,334.368688
155.435609,1000,345.470706
79.12458,1000,356.618558
121.963906,1000,367.727573
99.231626,1000,378.860454
132.66075,1000,390.277022
138.33123,1000,401.495647
112.129321,1000,412.73369
139.029324,1000,423.894219
117.814176,1000,435.07916
152.485574,1000,440.019471
123.740756,1000,451.456986
157.896207,1000,462.582509
142.421696,1000,473.769175
203.303635,1000,484.986141
5.524013,294,492.596442
-0.532269,271,493.944414
151.342519,1000,505.286438
144.220329,1000,538.491299
89.183444,1000,549.651837
137.647401,1000,560.810513
114.448367,1000,572.057138
175.765039,1000,583.181889
148.99171,1000,594.600451
9.75073,324,596.236569
-21.176591,333,597.922177
35.054438,324,605.638705
108.455571,1000,616.748601
114.376207,1000,627.898363
168.836331,1000,639.100864
32.459852,1000,650.268329
118.03984,1000,661.721739
134.803645,1000,672.767029
-30.415705,333,674.418046
-12.154959,254,675.676446
33.741714,316,677.249824
158.474073,753,687.2235
128.919143,1000,698.336319
114.60369,1000,709.429069
117.354221,1000,720.997375
143.744134,1000,732.877856
140.943151,1000,744.050053
142.30529,1000,755.177266
148.119609,1000,766.257291
130.830522,1000,777.416061
145.387758,1000,788.768309
136.281759,1000,799.861198
144.464239,1000,827.602942
173.756758,1000,838.780784
127.199208,1000,850.035316
149.192372,1000,861.07996
138.570326,1000,872.17972
124.628851,1000,883.212615
179.019006,1000,894.291399
133.115778,1000,905.354326
179.182744,1000,916.641656
159.208354,1000,927.770702
53.536164,251,929.023077
124.152718,1000,940.139726
27.787189,240,941.360931
53.546831,251,942.563527
165.832836,1000,953.725533
144.311688,1000,964.854519
150.026761,1000,976.142125
154.023791,1000,987.257961
152.255748,1000,998.370151
119.459375,1000,1009.399684
177.065196,1000,1020.627614
144.555192,1000,1031.695095
139.644982,1000,1043.014294
184.670653,1000,1054.137415
176.832238,1000,1065.17631
161.100379,1000,1076.27497
38.385907,255,1077.550021
141.377193,1000,1088.630788
178.058651,1000,1113.201357
196.693841,1000,1124.328278
145.696372,1000,1135.750722
179.051046,1000,1147.103194
170.440353,1000,1158.213689
165.538252,1000,1169.56633
166.875257,1000,1180.777138
163.187184,1000,1191.868649
129.652625,1000,1203.003823
181.798832,1000,1214.057243
159.329828,1000,1225.223491
191.605715,1000,1236.447081
164.066817,1000,1247.472713
267.183019,847,1257.793798
269.052472,349,1259.491041
258.331275,405,1267.618795
256.831462,315,1269.16802
234.351485,267,1270.527075
280.348841,350,1278.362842
260.224879,283,1279.73715
284.276685,365,1281.54731
265.315532,355,1289.567914
266.322496,298,1291.285746
268.405167,278,1292.661608
239.471507,278,1294.060856
282.960309,351,1301.936897
268.596313,262,1303.235891
264.516231,283,1304.612438
36.705351,213,1305.635226
232.103054,352,1313.521761
291.148892,498,1315.965857
235.811077,375,1324.030852
271.616841,312,1325.547149
252.227194,275,1326.869906
278.008335,305,1334.53188
263.712772,311,1336.06975
297.130867,298,1337.512403
280.3914,339,1339.161091
245.37195,274,1347.139653
258.741696,295,1348.61144
236.813889,252,1349.84374
247.444148,387,1358.288361
