#{"t_start": 1784708786.6030405, "env_id": "LunarLander-v3"}
r,l,t
-138.077914,129,27.600391
-109.052178,94,27.902699
-83.395168,92,28.155111
-173.349092,95,28.418211
-397.89381,102,28.686915
-453.912901,104,28.972214
-440.129436,90,29.222318
-74.07024,80,29.435581
-170.901708,81,29.666297
-314.606513,115,30.012406
-119.400716,89,32.778027
-137.641891,124,33.11438
-69.540886,60,33.291015
-151.384779,104,33.578635
-135.061445,104,33.855969
-90.176558,70,34.058444
-104.380493,138,34.484125
-226.548277,89,34.822973
-171.787329,96,35.135755
-90.894509,71,35.369636
-117.868339,117,35.673297
-33.159697,98,38.348089
-157.652844,120,38.66209
-108.289095,74,38.8624
-98.203441,104,39.170579
-133.536355,74,39.378426
-181.53549,80,39.586374
-109.029772,84,39.81893
-108.000116,93,40.088597
-94.367224,86,40.361973
-105.66999,65,40.570137
-79.63155,113,40.889545
-72.510929,61,43.618776
-95.113314,134,44.012927
-220.419357,107,44.33406
-175.514082,137,44.721324
-84.462152,161,45.178691
-102.264762,82,45.4276
-115.287258,102,45.751247
-112.157496,109,46.105165
-31.550574,127,46.467108
-230.206353,118,49.324888
-182.587776,111,49.697952
-47.651921,79,49.988387
-81.58272,58,50.200141
-159.803642,109,50.859576
-80.959675,79,51.286566
-67.649996,148,52.014952
-99.695198,104,52.549608
-81.290551,71,52.930336
-121.41127,105,53.442493
-110.364465,96,60.094494
-338.588761,155,60.874338
-70.054515,71,61.224666
-115.01526,108,61.750244
-220.645578,167,62.637599
-225.377282,121,63.227023
-322.579279,114,63.80369
-274.755085,125,64.433697
-10.448,110,64.983953
-108.202974,89,71.813739
-276.159701,146,72.544035
-229.580257,147,73.272452
-48.681212,78,73.649587
-33.962723,71,74.006233
-90.364257,91,74.44605
-64.376051,84,74.867949
-98.111098,94,75.344133
-84.811819,104,75.891445
-63.557231,160,76.657802
-83.263104,98,83.858329
-199.705567,102,84.371181
-72.297132,100,84.916875
-75.038378,103,85.428771
-73.563705,140,86.189952
-390.894018,118,86.783184
-101.277721,90,87.24518
-116.218468,124,87.83788
-136.051402,95,88.319963
-120.656766,92,95.228752
-75.520168,83,95.645778
-134.484946,113,96.23379
-41.647956,79,96.656111
-80.861102,96,97.144755
-73.790968,80,97.528678
-79.868139,122,98.156155
-67.53891,64,98.486898
-163.099851,97,98.969073
-67.342781,137,99.675942
-80.048331,130,106.67316
-98.009986,76,107.058195
-43.949592,74,107.426641
-78.436197,135,108.131767
-157.0026,95,108.609518
-103.013861,102,109.122389
-82.943281,110,109.643233
-143.765573,108,110.257831
-43.228813,111,111.004428
-50.610439,91,111.505663
-99.394739,101,112.045693
-79.162289,101,118.957542
-37.357727,109,119.508125
-34.043609,90,119.962605
-116.738092,123,120.90739
-78.555347,90,121.56664
-83.303678,82,122.017453
-79.928527,115,122.598905
-166.528975,135,123.271787
-47.139932,94,123.760038
-84.946443,100,130.593502
-76.39809,110,131.196153
-190.913033,114,131.773728
-90.33985,105,132.356793
-84.832119,133,133.01076
-60.104879,82,133.44531
-53.707436,83,133.860153
-199.421006,132,134.48265
-116.11437,132,135.134315
-74.171788,81,135.557166
-8.237808,1000,144.728681
-40.479772,154,147.858149
-19.315226,1000,153.620454
-32.426391,142,154.027798
-7.828907,101,154.352786
-51.099859,114,154.759692
-91.886277,109,155.116389
-45.512789,120,155.478728
0.853708,86,155.779277
-0.872637,125,156.244237
7.831297,97,156.591066
-23.494219,94,163.678438
-34.393213,138,164.398444
1.512463,129,165.066229
45.971347,129,165.716421
-17.35782,132,166.421639
7.530085,129,167.08428
-19.483216,107,167.664525
-88.866766,144,168.386366
-8.121233,102,175.527928
21.384106,137,176.28471
34.432093,118,176.928312
21.728147,146,177.728315
-15.469238,109,178.332127
-52.5045,218,179.483667
25.822312,179,180.435482
-4.017131,148,187.755909
-68.627675,147,188.545266
-224.863591,799,192.685719
17.622694,168,200.065229
35.380878,1000,207.630832
0.329606,206,208.280996
5.065637,148,208.788214
37.694903,132,209.198589
5.771065,152,209.646738
37.083468,119,210.008152
11.555853,171,212.981713
52.57914,139,213.38473
13.965694,111,213.673214
-4.117805,148,214.059079
0.663763,106,214.396855
-41.939406,146,214.893856
19.757131,117,215.251972
22.729105,161,215.725416
-1.922523,140,218.476668
-4.521678,98,218.74975
47.2789,170,219.212187
12.796766,129,219.596458
-246.0562,798,224.914914
38.085738,1000,230.32312
109.623674,1000,235.98588
105.489194,1000,254.176236
56.73473,185,254.769278
-17.220925,226,255.508776
24.817451,263,256.296954
25.72991,169,256.777816
37.764547,198,259.997736
160.903142,1000,265.716491
91.132517,1000,277.036515
77.608367,1000,288.18025
109.876221,1000,299.416829
79.021775,1000,310.621676
-20.588683,228,311.762538
16.472275,1000,323.140867
35.878841,1000,334.38623
142.6503,1000,345.494325
118.768929,1000,356.639701
147.912205,1000,367.742721
-30.155656,312,369.294656
17.320223,270,370.617379
136.10868,1000,381.812431
2.680253,297,383.343138
112.633588,1000,394.705534
132.362142,1000,405.888305
