#{"t_start": 1784708786.6030405, "env_id": "LunarLander-v3"}
r,l,t
-106.668454,62,20.025147
-159.211732,71,27.616006
-123.831987,82,27.879268
-221.640645,67,28.050239
-196.75344,66,28.247511
-73.136626,65,28.426177
-366.283525,120,28.741734
-81.177508,73,28.948273
-93.991732,124,29.286517
-92.478036,76,29.499646
-401.91269,102,29.798953
-72.201302,61,29.972667
-222.752466,113,32.808899
-201.367055,73,33.008728
-195.245137,85,33.249295
-57.229838,63,33.431556
-197.118169,102,33.712297
-75.495944,63,33.874632
-119.470254,72,34.075578
-325.213677,118,34.435076
-76.192529,77,34.732167
-171.358149,70,34.987646
-119.669902,57,35.154839
-73.361161,81,35.401187
-138.490893,100,35.669912
-130.121621,89,38.324192
-110.39693,75,38.529631
-183.432841,112,38.814362
-75.771299,69,38.997719
-125.41142,89,39.273434
-137.008373,69,39.464145
-214.160888,91,39.719672
-95.420482,76,39.92633
-112.991467,134,40.327074
-70.303927,128,40.721064
-178.157261,95,40.988371
-147.254699,79,43.783241
-67.733744,84,44.020512
-77.624425,78,44.260575
-146.577541,114,44.593212
-109.636223,91,44.839167
-115.755006,93,45.113117
-88.177749,79,45.325449
-114.277128,86,45.599747
-119.425308,99,45.925307
-260.500958,170,46.435769
-93.044575,75,49.14026
-103.226423,82,49.430367
-52.912007,150,49.95612
-240.987275,113,50.430192
-81.044006,108,51.073563
-80.597525,74,51.451493
-134.040047,121,52.063527
-87.107387,107,52.60987
-147.877724,83,53.0436
-135.261236,108,53.569449
-122.439996,132,60.39806
-180.025343,115,60.999952
-67.0027,102,61.503568
-42.967153,79,61.884813
-115.707223,81,62.319024
-288.669322,106,62.845029
-215.313705,145,63.570833
-138.677869,98,64.08807
-126.476334,94,64.552324
-93.531395,108,65.084059
-85.797204,101,71.985692
9.628668,110,72.519228
-58.626654,78,72.912309
-218.893228,103,73.430027
-100.022629,114,73.97515
-174.401131,112,74.526739
-59.312609,121,75.132504
-85.236579,80,75.542255
17.577565,106,76.075914
-234.101044,108,76.60068
-85.57686,92,83.782904
-80.286078,78,84.172873
-78.613212,77,84.568815
-30.43792,82,85.003158
-73.19717,87,85.440865
-117.54981,72,85.857461
-112.085501,79,86.255342
-228.883608,105,86.783184
-218.649429,119,87.379159
-144.619552,82,87.788641
-57.163547,71,88.140765
-104.218494,119,95.181396
-116.389171,91,95.636781
-16.272433,125,96.285286
-77.538514,78,96.697964
-208.221869,111,97.261632
-50.165267,139,97.950996
-99.59649,102,98.481702
-336.260524,165,99.313763
-96.693728,94,99.794528
