#{"t_start": 1784708786.6030405, "env_id": "LunarLander-v3"}
r,l,t
-12.553046,128,148.45706
16.421506,103,148.816155
-38.129796,105,149.194022
-81.160623,100,149.545896
-80.638235,88,149.813217
-7.342209,120,150.183999
-7.534261,121,150.57203
-175.699078,123,150.937656
-16.113618,139,153.817173
-33.003705,120,154.146851
-3.956496,108,154.528639
-104.906321,200,155.198101
-12.704551,92,155.482618
-15.74654,149,156.036228
-97.946694,143,156.541746
-47.492443,139,163.850794
-21.375575,131,164.500938
-7.810914,115,165.115427
-92.597293,131,165.768836
-65.438775,118,166.403476
-12.084616,101,166.939477
-108.245767,99,167.46328
-48.145735,127,168.113132
12.976218,123,168.731753
-38.520974,133,176.061401
23.459235,161,176.950056
-21.591323,146,177.770834
-19.380143,122,178.393847
-27.368099,128,179.09365
3.385714,146,179.852741
-1.699835,138,180.602067
-1.622978,121,187.781576
12.304033,114,188.415553
-20.124005,173,189.293819
-53.918909,166,190.178265
2.268212,134,190.880589
-108.121086,201,191.87767
14.134878,167,192.777488
-1.906513,173,200.157784
9.680104,130,200.917457
-34.754212,151,201.732374
35.234209,1000,208.614064
80.853092,1000,213.993266
15.494955,148,214.472965
-1.801038,172,215.031089
31.836342,110,215.360929
51.081044,152,215.793555
24.86476,191,218.689294
147.615588,1000,224.599881
72.226198,1000,229.908126
-137.241974,321,231.012993
116.489981,1000,236.641921
96.499155,1000,254.826481
30.41458,174,255.399352
90.13684,1000,260.977618
-162.70972,576,265.448575
38.672926,1000,276.621922
-29.7988,207,277.630814
30.736695,1000,288.7805
133.251289,1000,300.030244
97.852651,1000,311.235504
91.614194,1000,322.608832
83.208957,1000,333.85751
106.423887,1000,344.957236
8.815489,320,346.55724
132.148425,1000,357.69991
97.089584,1000,368.803013
59.985509,1000,379.901799
140.370348,1000,391.370193
130.602783,1000,402.546037
129.653871,1000,413.787965
65.987339,1000,424.947103
137.637473,1000,436.129421
-47.53125,307,437.655034
26.748109,253,438.892122
100.172337,1000,450.278741
125.897724,1000,461.433517
93.730751,1000,472.661297
154.82647,1000,483.866051
134.660251,1000,494.985471
150.766831,1000,506.316049
-13.97859,275,529.610149
118.280414,1000,540.947045
197.493866,506,549.582969
82.847248,1000,560.772189
100.765369,1000,572.018849
-6.235816,267,573.343858
-0.307443,263,574.631329
-5.242683,269,582.168309
167.833643,1000,593.562304
101.153764,1000,604.717201
-35.775913,344,606.38475
104.829248,1000,617.512326
-18.925627,364,619.274781
4.938831,302,627.011471
-11.121811,375,628.883435
149.058248,1000,640.039064
97.249902,1000,651.269793
142.915269,1000,662.659377
-2.702033,291,664.101289
150.208956,1000,675.191211
142.963922,1000,686.377544
9.847816,302,687.840252
167.131062,1000,698.975812
146.416356,1000,710.057244
140.566957,1000,721.642455
138.31277,1000,733.515277
148.004459,1000,744.681071
159.485458,1000,755.812212
133.182815,1000,766.89988
153.031953,1000,778.043404
164.721762,1000,789.397158
125.770291,1000,800.521592
144.598903,1000,828.23362
141.909862,1000,839.411687
132.718636,1000,850.668537
117.752459,1000,861.774086
123.314302,1000,872.834941
143.494474,1000,883.844345
135.863113,1000,894.927399
162.995325,1000,905.980306
127.975093,1000,917.274899
154.834152,1000,928.439303
133.178584,1000,939.562662
152.227858,1000,950.672961
160.003132,1000,961.866733
145.730183,1000,972.930245
159.275263,1000,984.269186
126.223731,1000,995.363892
129.551184,1000,1006.399346
125.055662,1000,1017.572068
169.645815,1000,1028.696221
122.741852,1000,1039.98863
113.832301,1000,1051.117405
152.777668,1000,1062.182848
160.985348,1000,1073.281175
78.802451,197,1074.212339
166.467801,1000,1085.323743
127.651414,1000,1096.404295
126.252175,1000,1121.03299
145.622616,1000,1132.45733
176.921755,1000,1143.847019
129.927205,1000,1154.887892
136.877494,1000,1166.277
154.682471,1000,1177.501673
129.094038,1000,1188.549307
162.681747,1000,1199.6442
277.393964,755,1203.410592
180.343396,1000,1214.465779
151.441056,1000,1225.644762
227.634947,379,1233.812255
274.242397,924,1238.33512
143.44913,1000,1249.381706
263.191419,273,1256.88985
286.62886,472,1259.17563
283.511114,375,1267.166024
287.254129,373,1269.014993
174.430564,1000,1280.084045
268.888287,234,1281.20118
273.820663,303,1282.716671
240.857963,308,1290.695724
272.446644,334,1292.403606
146.615388,1000,1303.496992
235.82483,342,1305.174307
267.483804,317,1312.903942
262.333946,289,1314.318505
303.947496,327,1315.923281
293.729817,310,1323.659477
257.456035,258,1324.871592
282.070438,299,1326.357095
239.48768,294,1327.791689
284.285178,292,1335.407666
296.791785,267,1336.70455
276.539147,332,1338.312938
259.108083,267,1346.272019
52.061129,1000,1357.718687
271.896968,294,1359.153387
227.127409,235,1360.285451
229.214693,311,1361.812996
239.675832,397,1369.87205
271.890405,332,1371.530205
295.038854,320,1373.158163
282.61399,311,1380.85534
153.473807,1000,1402.560474
263.523603,258,1403.814687
268.380839,433,1406.449923
