#{"t_start": 1784708786.6030405, "env_id": "LunarLander-v3"}
r,l,t
-118.05161,97,20.136106
-99.121101,107,27.853445
-90.514286,78,28.050239
-175.981432,72,28.261496
-206.122742,86,28.491111
-277.881996,115,28.804085
-148.825417,67,28.987398
-462.833528,101,29.268162
-276.114821,102,29.542007
-101.225194,87,29.815396
-100.187428,84,30.061903
-368.833583,122,32.91225
-93.414365,70,33.09546
-126.265113,87,33.334898
-104.076108,105,33.632005
-141.471471,104,33.919285
-116.670421,75,34.129969
-180.275706,119,34.510458
-86.15089,79,34.814853
-382.258016,100,35.141761
-99.110606,68,35.364624
-102.205781,67,35.523548
-123.699181,116,38.254154
-88.384316,69,38.436461
-214.074564,86,38.663693
-67.387889,79,38.878896
-95.53764,130,39.257026
-356.984029,116,39.573222
-192.454546,109,39.864032
-95.534127,96,40.150517
-261.226963,106,40.486433
-106.705991,106,40.810749
-116.820568,63,40.981411
-95.494692,129,43.907782
-48.558701,136,44.323661
-228.121878,138,44.71202
-73.586305,71,44.915268
-149.907387,74,45.128977
-109.019191,100,45.425067
-296.824488,163,45.948515
-255.710498,110,46.264
-126.507694,74,46.48923
-124.158635,115,49.339597
-110.572167,142,49.845786
-152.868716,127,50.327879
-162.409692,96,50.930029
-69.478432,59,51.247844
-55.738943,128,51.888265
-103.110728,63,52.18333
-264.914978,137,52.918766
-122.982655,149,53.633797
-135.892352,159,60.635396
-81.458731,94,61.095829
-202.680977,122,61.684201
-90.283042,74,62.084734
-73.690108,109,62.637599
-187.670554,105,63.170419
-93.166991,93,63.633529
-73.428463,82,64.048853
-81.022569,76,64.429352
-338.015997,137,65.109941
-77.220903,71,71.874897
-59.279284,111,72.418864
-76.72361,119,72.992805
-93.170264,133,73.649587
-104.845065,132,74.287539
-110.825588,105,74.831222
-181.278497,124,75.443696
-148.042673,121,76.061757
-57.101937,159,83.571072
-40.351192,99,84.060082
-58.112177,73,84.415472
-268.494659,118,85.049656
-75.373546,74,85.419218
-115.709683,94,85.935517
-30.522248,73,86.312665
-56.832934,67,86.65747
-251.231188,106,87.207171
-121.938748,74,87.55223
-128.334621,95,88.014082
-53.730133,110,88.548623
-48.598562,92,95.462833
-111.683887,116,96.069209
-9.290546,109,96.655109
-175.730627,108,97.206467
-271.55071,127,97.8397
-91.654876,77,98.218572
-29.543946,117,98.829283
-86.312465,100,99.325423
-76.65112,124,99.949052
-48.178568,70,106.660048
-130.440712,116,107.235416
-97.197493,100,107.772835
-81.851212,132,108.429999
-75.580705,101,108.926463
-45.944029,87,109.357413
-100.971043,88,109.80869
-63.964714,82,110.272553
-90.003932,95,110.932929
-78.847725,102,111.49557
-192.949413,134,118.573227
-81.409297,114,119.15973
-115.458573,109,119.72076
-191.311758,182,121.062294
-130.408241,119,121.793465
-163.648344,102,122.318999
-75.56023,89,122.768539
-41.088365,78,123.166577
-60.184193,110,123.721827
-87.967923,115,130.651806
-110.135919,98,131.185186
-48.634129,92,131.65712
-39.885227,74,132.066974
-72.351079,105,132.588942
-64.45788,119,133.212604
-54.9175,141,133.912286
-51.485338,125,134.512412
-62.820782,89,134.95751
-31.017863,121,135.564149
-63.697836,93,141.760651
-17.461987,89,142.140491
-36.442491,105,142.525533
-8.157139,142,142.964863
-10.449858,153,143.419824
-56.363261,95,143.694607
-2.486893,85,143.972965
-50.829566,72,144.193765
-35.754412,149,144.680463
-35.367028,94,147.629835
-26.075824,115,147.987404
